champion,position,0,rank
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Galio,MIDDLE,,platinum
Ekko,MIDDLE,,platinum
Galio,MIDDLE,,platinum
Vladimir,MIDDLE,,platinum
Pyke,UTILITY,,platinum
Malzahar,MIDDLE,,platinum
Ornn,TOP,,platinum
Pantheon,TOP,,platinum
Pantheon,MIDDLE,,platinum
Pantheon,MIDDLE,,platinum
,,,platinum
,,,platinum
,,,platinum
FiddleSticks,JUNGLE,,platinum
FiddleSticks,JUNGLE,,platinum
FiddleSticks,JUNGLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Lux,MIDDLE,,platinum
Evelynn,JUNGLE,,platinum
Evelynn,JUNGLE,,platinum
Evelynn,JUNGLE,,platinum
Evelynn,JUNGLE,,platinum
Evelynn,JUNGLE,,platinum
Evelynn,JUNGLE,,platinum
Evelynn,JUNGLE,,platinum
TwistedFate,MIDDLE,,platinum
Caitlyn,BOTTOM,,platinum
Gangplank,TOP,,platinum
Rammus,TOP,,platinum
,,,platinum
Camille,TOP,,platinum
Camille,TOP,,platinum
Gangplank,TOP,,platinum
Camille,TOP,,platinum
Rammus,TOP,,platinum
Camille,TOP,,platinum
Camille,TOP,,platinum
Vex,MIDDLE,,platinum
,,,platinum
,,,platinum
,,,platinum
Nautilus,UTILITY,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Swain,BOTTOM,,platinum
Varus,BOTTOM,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
KSante,TOP,,platinum
,,,platinum
Sett,TOP,,platinum
Rumble,TOP,,platinum
Veigar,MIDDLE,,platinum
Ziggs,MIDDLE,,platinum
Xerath,MIDDLE,,platinum
Xerath,UTILITY,,platinum
Volibear,TOP,,platinum
Nasus,TOP,,platinum
Fiora,TOP,,platinum
Illaoi,TOP,,platinum
Ornn,TOP,,platinum
Vayne,TOP,,platinum
Nasus,TOP,,platinum
Poppy,UTILITY,,platinum
Fiora,TOP,,platinum
Diana,MIDDLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Evelynn,JUNGLE,,platinum
Evelynn,JUNGLE,,platinum
Evelynn,JUNGLE,,platinum
Evelynn,JUNGLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Darius,TOP,,platinum
Garen,TOP,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Akali,MIDDLE,,platinum
Diana,JUNGLE,,platinum
Sylas,MIDDLE,,platinum
JarvanIV,JUNGLE,,platinum
Kindred,JUNGLE,,platinum
Graves,JUNGLE,,platinum
Graves,JUNGLE,,platinum
JarvanIV,JUNGLE,,platinum
Diana,JUNGLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Katarina,MIDDLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Zed,MIDDLE,,platinum
Leblanc,MIDDLE,,platinum
Sylas,MIDDLE,,platinum
Orianna,MIDDLE,,platinum
Xerath,MIDDLE,,platinum
Ryze,MIDDLE,,platinum
Orianna,MIDDLE,,platinum
Orianna,MIDDLE,,platinum
