"win","kills","deaths","dmgObj","dmgTurr","vision_score","totalDmg","totalDmgTaken","totalMinions","gold","position","time","rank"
"False",5,9,301,301,18,126708,34699,169,9277,"top",29.7833333333333,"iron"
"False",6,11,10535,1979,23,149209,30688,163,12317,"top",35.8833333333333,"iron"
"True",0,5,4846,2163,12,67094,12938,119,7690,"middle",25.4833333333333,"iron"
"False",6,11,1339,189,12,102906,23873,112,9688,"middle",29.1333333333333,"iron"
"False",5,9,354,354,11,95061,26593,96,9347,"middle",26.25,"iron"
"False",8,8,4045,2954,66,92525,49626,55,11878,"utility",35.2833333333333,"iron"
"True",5,6,4239,4239,10,96785,23697,91,8772,"middle",26.0333333333333,"iron"
"True",0,7,2806,1005,15,19196,17631,15,6540,"utility",24.0666666666667,"iron"
"False",3,15,9506,1384,41,67712,51032,56,9422,"utility",35.4666666666667,"iron"
"True",7,4,17266,6655,15,115784,11613,147,10573,"bottom",28.5666666666667,"iron"
"True",11,5,15664,5465,9,118488,17531,142,13107,"bottom",29.55,"iron"
"False",5,9,12457,5404,15,129514,27610,142,12455,"bottom",35.9833333333333,"iron"
"True",4,6,7226,2155,14,101669,14085,121,9566,"bottom",31.1166666666667,"iron"
"True",3,2,2017,226,8,30392,5417,63,5038,"bottom",15.7,"iron"
"False",6,9,2956,427,7,71068,18054,67,9570,"bottom",28.8,"iron"
"False",5,9,254,105,12,65361,18018,102,8085,"bottom",22.5833333333333,"iron"
"False",10,9,17118,4120,16,188288,25241,194,15644,"bottom",36.5666666666667,"iron"
"True",10,3,8219,3787,31,79477,15737,62,13264,"utility",27.6666666666667,"iron"
"False",4,9,4260,422,36,100467,24398,93,11537,"utility",34.15,"iron"
"False",0,6,10047,0,10,125165,29634,20,8202,"jungle",28.2833333333333,"iron"
"False",12,7,16854,254,12,164642,37895,21,13974,"jungle",31.15,"iron"
"False",1,1,1361,0,5,66588,15467,3,4603,"jungle",16.35,"iron"
"True",13,6,30436,121,16,289463,54320,20,15972,"jungle",38.85,"iron"
"False",0,3,2049,0,3,58221,15675,10,4024,"jungle",15.65,"iron"
"False",1,6,4923,0,23,76464,21158,53,7465,"jungle",26.9833333333333,"iron"
"False",0,5,3510,0,28,59916,17734,20,5357,"jungle",25.8833333333333,"iron"
"False",0,6,2062,184,31,75003,14271,13,7928,"jungle",34.5166666666667,"iron"
"False",1,5,585,194,28,57451,14524,8,7960,"jungle",33.7666666666667,"iron"
"False",1,7,3819,292,40,77720,20951,8,9164,"jungle",38.2166666666667,"iron"
"True",4,2,10429,0,19,81567,12637,7,7300,"jungle",18.7333333333333,"iron"
"False",9,9,2425,1052,18,90030,23635,119,11756,"middle",31.0166666666667,"iron"
"False",6,10,14404,1163,11,114029,22572,19,9831,"jungle",30.7833333333333,"iron"
"False",3,5,3299,1023,20,98567,16328,155,8506,"middle",29.6333333333333,"iron"
"True",18,7,27824,9317,14,186780,19571,165,17905,"middle",32.1,"iron"
"False",4,13,26873,0,23,146577,41368,44,10373,"jungle",30.95,"iron"
"True",6,11,37850,1443,15,170629,51885,37,14022,"jungle",40.1833333333333,"iron"
"False",1,8,4666,4666,12,103750,22193,146,9637,"bottom",29.1333333333333,"iron"
"False",9,11,10223,7705,26,168255,43737,59,13601,"jungle",34.5166666666667,"iron"
"True",7,14,27126,4089,20,195652,49308,60,14881,"jungle",37.7666666666667,"iron"
"True",6,6,11990,11990,21,161161,22223,185,12960,"bottom",33.45,"iron"
"False",2,9,4293,0,16,92980,29143,51,8408,"jungle",28.75,"iron"
"False",6,10,6358,745,18,111971,34937,13,9882,"jungle",29.9666666666667,"iron"
"False",5,10,12936,0,15,124275,42422,13,10377,"jungle",29.5166666666667,"iron"
"False",3,14,11492,2642,28,183910,48779,176,12882,"top",38.5333333333333,"iron"
"False",5,7,0,0,6,62625,19087,81,7101,"top",22.2833333333333,"iron"
"True",24,6,34208,8408,31,311283,71463,235,24549,"top",49.15,"iron"
"True",7,2,19464,8139,19,122344,23878,160,12106,"top",28.8833333333333,"iron"
"True",6,2,10381,2253,25,95322,15884,147,12361,"bottom",34.2666666666667,"iron"
"False",2,9,11645,1067,14,80110,31155,84,7816,"top",28.9666666666667,"iron"
"False",4,7,1277,647,25,18301,17193,11,7938,"utility",26.8666666666667,"iron"
"False",1,6,510,510,6,12729,12865,23,5086,"utility",19.1,"iron"
"False",5,13,2536,815,32,34854,25768,26,11865,"utility",35.2333333333333,"iron"
"False",3,8,23867,595,21,158352,31023,5,10322,"jungle",30.5,"iron"
"False",4,5,10510,5914,21,102434,32838,129,10632,"top",27.15,"iron"
"True",3,7,7837,3358,35,81405,17527,134,10266,"bottom",30.9333333333333,"iron"
"False",1,5,404,0,23,11156,10242,24,4457,"utility",18.4833333333333,"iron"
